Title,Price,Rating
A Light in the ...,51.77,3
Tipping the Velvet,53.74,1
Soumission,50.10,1
Sharp Objects,47.82,4
Sapiens: A Brief History ...,54.23,5
The Requiem Red,22.65,1
The Dirty Little Secrets ...,33.34,4
The Coming Woman: A ...,17.93,3
The Boys in the ...,22.60,4
The Black Maria,52.15,1
Starving Hearts (Triangular Trade ...,13.99,2
Shakespeare's Sonnets,20.66,4
Set Me Free,17.46,5
Scott Pilgrim's Precious Little ...,52.29,5
Rip it Up and ...,35.02,5
Our Band Could Be ...,57.25,3
Olio,23.88,1
Mesaerion: The Best Science ...,37.59,1
Libertarianism for Beginners,51.33,2
It's Only the Himalayas,45.17,2
In Her Wake,12.84,1
How Music Works,37.32,2
Foolproof Preserving: A Guide ...,30.52,3
Chase Me (Paris Nights ...,25.27,5
Black Dust,34.53,5
Birdsong: A Story in ...,54.64,3
America's Cradle of Quarterbacks: ...,22.50,3
Aladdin and His Wonderful ...,53.13,3
Worlds Elsewhere: Journeys Around ...,40.30,5
Wall and Piece,44.18,4
The Four Agreements: A ...,17.66,5
The Five Love Languages: ...,31.05,3
The Elephant Tree,23.82,5
The Bear and the ...,36.89,1
Sophie's World,15.94,5
Penny Maybe,33.29,3
Maude (1883-1993):She Grew Up ...,18.02,2
"In a Dark, Dark ...",19.63,1
Behind Closed Doors,52.22,4
You can't bury them ...,33.63,2
Slow States of Collapse: ...,57.31,3
Reasons to Stay Alive,26.41,2
Private Paris (Private #10),47.61,5
#HigherSelfie: Wake Up Your ...,23.11,5
Without Borders (Wanderlove #1),45.07,2
When We Collided,31.77,1
"We Love You, Charlie ...",50.27,5
Untitled Collection: Sabbath Poems ...,14.27,4
Unseen City: The Majesty ...,44.18,4
Unicorn Tracks,18.78,3
Unbound: How Eight Technologies ...,25.52,1
Tsubasa: WoRLD CHRoNiCLE 2 ...,16.28,1
Throwing Rocks at the ...,31.12,3
This One Summer,19.49,4
Thirst,17.27,5
The Torch Is Passed: ...,19.09,1
The Secret of Dreadwillow ...,56.13,1
The Pioneer Woman Cooks: ...,56.41,1
The Past Never Ends,56.50,4
The Natural History of ...,45.22,3
The Nameless City (The ...,38.16,4
The Murder That Never ...,54.11,3
The Most Perfect Thing: ...,42.96,4
The Mindfulness and Acceptance ...,23.89,4
The Life-Changing Magic of ...,16.77,3
The Inefficiency Assassin: Time ...,20.59,5
The Gutsy Girl: Escapades ...,37.13,1
The Electric Pencil: Drawings ...,56.06,1
The Death of Humanity: ...,58.11,4
The Bulletproof Diet: Lose ...,49.05,3
The Art Forger,40.76,3
The Age of Genius: ...,19.73,1
The Activist's Tao Te ...,32.24,5
Spark Joy: An Illustrated ...,41.83,4
Soul Reader,39.58,2
Security,39.25,2
"Saga, Volume 6 (Saga ...",25.02,3
"Saga, Volume 5 (Saga ...",51.04,2
Reskilling America: Learning to ...,19.83,2
"Rat Queens, Vol. 3: ...",50.40,3
"Princess Jellyfish 2-in-1 Omnibus, ...",13.61,5
Princess Between Worlds (Wide-Awake ...,13.34,5
"Pop Gun War, Volume ...",18.97,1
"Political Suicide: Missteps, Peccadilloes, ...",36.28,2
Patience,10.16,3
"Outcast, Vol. 1: A ...",15.44,4
orange: The Complete Collection ...,48.41,1
Online Marketing for Busy ...,46.35,1
On a Midnight Clear,14.07,3
Obsidian (Lux #1),14.86,2
My Paris Kitchen: Recipes ...,33.37,2
Masks and Shadows,56.40,2
Mama Tried: Traditional Italian ...,14.02,4
"Lumberjanes, Vol. 2: Friendship ...",46.91,2
"Lumberjanes, Vol. 1: Beware ...",45.61,3
Lumberjanes Vol. 3: A ...,19.92,2
"Layered: Baking, Building, and ...",40.11,1
Judo: Seven Steps to ...,53.90,2
Join,35.67,5
In the Country We ...,22.00,4
